,term,score
0,cochrane,24.8488586699785
1,her,22.744351773571044
2,she,16.221581193165818
3,seaman,14.878355096997772
4,bly,12.42442933498925
5,nellie,9.918903397998514
6,mark,8.640030471958262
7,ironclad,6.212214667494625
8,plume,6.212214667494625
9,vexations,6.212214667494625
10,phileas,6.212214667494625
11,597,6.212214667494625
12,elizabeth,6.1104284926890235
13,nom,5.806749559386461
14,balloon,5.806749559386461
15,forgeries,5.806749559386461
16,mcalpin,5.806749559386461
17,asylum,5.806749559386461
18,fogg,5.806749559386461
19,verne,5.806749559386461
20,litigations,5.806749559386461
21,liveliness,5.806749559386461
22,parlors,5.51906748693468
23,diving,5.51906748693468
24,swallowed,5.51906748693468
25,avenue,5.342510686914622
26,baxter,5.29592393562047
27,ascension,4.959451698999257
28,insane,4.8259203063747345
29,barrel,4.8259203063747345
30,jules,4.8259203063747345
31,mills,4.8259203063747345
32,penniless,4.8259203063747345
33,days,4.761725562631062
34,bankruptcy,4.7081372707183515
35,lexington,4.7081372707183515
36,happily,4.7081372707183515
37,57,4.7081372707183515
38,properties,4.5074665752562
39,tenth,4.42045519826657
40,employees,4.42045519826657
41,journalistic,4.3404124905930335
42,teens,4.19731164695236
43,sorts,4.132773125814789
44,feat,4.132773125814789
45,costly,4.132773125814789
46,journalism,4.0721485039983545
47,disputes,4.014990090158406
48,72,4.014990090158406
49,pen,4.014990090158406
50,company,3.9854139246370366
51,street,3.913203915352804
52,manufacturing,3.9096295745005794
53,around,3.7894531079166294
54,landed,3.7698676321254205
55,eighty,3.7698676321254205
56,1895,3.7698676321254205
57,1889,3.7273080177066245
58,pa,3.7273080177066245
59,bell,3.6864860231863696
60,rooms,3.6864860231863696
61,pittsburgh,3.647265310033088
62,steel,3.609524982050241
63,luck,3.538066018068096
64,pneumonia,3.471374643569424
65,herbert,3.4396259452548437
66,journal,3.4396259452548437
67,patient,3.4396259452548437
68,seventh,3.40885428658809
69,beat,3.379001323438409
70,however,3.3700120459524907
71,senior,3.3218429095984603
72,lived,3.275007377982484
73,judge,3.2677756883281845
74,1910,3.241800201924924
75,forty,3.144161732361008
76,clock,3.0341608371466795
77,removed,3.0135415499439437
78,hero,3.0135415499439437
79,tomorrow,3.0135415499439437
80,minutes,2.9933388426264242
81,progress,2.9933388426264242
82,fortune,2.9350699345024482
83,thirty,2.916377801490296
84,newspapers,2.8980286628220995
85,founded,2.8980286628220995
86,courage,2.8980286628220995
87,water,2.880010157319421
88,evening,2.827824404148851
89,paper,2.7622271216630376
90,succeeded,2.7464787646948983
91,entire,2.7464787646948983
92,sea,2.7464787646948983
93,trip,2.730974578158933
94,services,2.7157071060281446
